"Story","Title","Result","Date","Stability","Duration (s)"
"Autentication","POST operational for login","SUCCESS","2023-05-12T16:40:41.4123025+07:00[Asia/Bangkok]","0.0","0.1"
"Autentication","register using the correct data","SUCCESS","2023-05-12T16:40:41.5223975+07:00[Asia/Bangkok]","0.0","0.1"
"Autentication","register using incorrect data","SUCCESS","2023-05-12T16:40:41.6294886+07:00[Asia/Bangkok]","0.0","0.08"
"Hello","GET api endpoints for index","SUCCESS","2023-05-12T16:40:41.7215677+07:00[Asia/Bangkok]","0.0","0.08"
"Order","GET api endpoints for all orders","SUCCESS","2023-05-12T16:40:41.8091456+07:00[Asia/Bangkok]","0.0","0.09"
"Order","POST endpoints for create new orders","SUCCESS","2023-05-12T16:40:41.9027257+07:00[Asia/Bangkok]","0.0","0.08"
"Order","GET api endpoints for orders by ID","SUCCESS","2023-05-12T16:40:41.9856088+07:00[Asia/Bangkok]","0.0","0.08"
"Product Categories","GET api endpoints for all categories","SUCCESS","2023-05-12T16:40:42.073685+07:00[Asia/Bangkok]","0.0","0.09"
"Product Categories","GET api endpoints for categories by ID","SUCCESS","2023-05-12T16:40:42.17277+07:00[Asia/Bangkok]","0.0","0.08"
"Product Categories","POST HTTP request for create categories","SUCCESS","2023-05-12T16:40:42.2543397+07:00[Asia/Bangkok]","0.0","0.08"
"Product Categories","DELETE api endpoints for a categories","SUCCESS","2023-05-12T16:40:42.3334077+07:00[Asia/Bangkok]","0.0","0.07"
"Product","GET As admin I have be able to get all product","SUCCESS","2023-05-12T16:40:42.4105929+07:00[Asia/Bangkok]","0.0","0.14"
"Product","GET api endpoints for products by ID","SUCCESS","2023-05-12T16:40:42.5617222+07:00[Asia/Bangkok]","0.0","0.11"
"Product","DELETE api endpoints","SUCCESS","2023-05-12T16:40:42.6813245+07:00[Asia/Bangkok]","0.0","0.08"
"Product","POST endpoints for create new products","SUCCESS","2023-05-12T16:40:42.7648962+07:00[Asia/Bangkok]","0.0","0.09"
"Product","GET api endpoints for products ratings","SUCCESS","2023-05-12T16:40:42.8609786+07:00[Asia/Bangkok]","0.0","0.08"
"Product","GET api endpoints for products comments","SUCCESS","2023-05-12T16:40:42.94355+07:00[Asia/Bangkok]","0.0","0.07"
"Product","POST api endpoints for assign a product ratings","SUCCESS","2023-05-12T16:40:43.0201158+07:00[Asia/Bangkok]","0.0","0.09"
"Product","POST api endpoints for create comment for products","SUCCESS","2023-05-12T16:40:43.1097094+07:00[Asia/Bangkok]","0.0","0.08"
